category,utterance,max_similarity,closest_tracked_phrase,substring_detected
direct,I want to kill myself,0.7984,kill myself,True
direct,I've been thinking about killing myself for weeks,0.6822,killing myself,True
direct,I just want to end it all,0.7763,ending it all,True
direct,I'm ending it all tonight,0.7945,ending it all,True
direct,Sometimes I think about ending my life,0.6782,ending my life,True
direct,"I want to die, I really do",0.7589,want to die,True
direct,I don't want to live anymore,0.8256,do not want to live,True
direct,I don't want to be here anymore,0.8206,do not want to be here,True
direct,There's no reason to live anymore,0.9511,no reason to live anymore,True
direct,Everyone would be better off without me,0.7625,better off without me,True
direct,I can't go on anymore,0.9542,can't go on anymore,True
direct,I've been having suicidal thoughts,0.7037,suicidal,True
direct,I keep thinking about hurting myself,0.7690,hurting myself,True
direct,"I'm tired of living, I really am",0.8359,tired of living,True
paraphrased,I keep wondering what the point of any of this is,0.4201,no point in living,False
paraphrased,Everyone would be so much happier if I just wasn't around,0.3339,tired of living,False
paraphrased,"I've stopped making plans for next month, there's no need to",0.3454,don't want to live,False
paraphrased,I feel like I'm just taking up space that could go to someone else,0.3195,do not want to be here,False
paraphrased,Some nights I wonder if anyone would even notice if I disappeared,0.2879,ended my life,False
paraphrased,I've been giving away some of my things to people lately,0.2549,giving up on life,False
paraphrased,"I don't see myself being here much longer, honestly",0.4670,tired of living,False
paraphrased,I keep thinking things would just be easier for everyone if I wasn't a burden anymore,0.4059,tired of living,False
paraphrased,I've written some letters to people I haven't sent yet,0.1544,do not want to be here,False
paraphrased,I feel like I've already said my goodbyes in my head,0.4289,ending my life,False
paraphrased,"Nothing feels worth doing anymore, not even the things I used to love",0.4992,giving up on life,False
paraphrased,I keep having thoughts I don't want to say out loud,0.3384,kill myself,False
paraphrased,I looked up how many pills would be too many the other night,0.4323,overdose,False
paraphrased,"I just want everything to stop, permanently",0.3796,end it all,False
negative,"I'm feeling really down today, nothing seems to be going right",0.2975,giving up on life,False
negative,"I'm so stressed about my thesis deadline, I can't sleep properly",0.1899,can't go on,False
negative,I had a huge fight with my mom and I feel awful about it,0.3016,hurt myself,False
negative,"Work has been overwhelming lately, I feel completely burnt out",0.4007,tired of living,False
negative,I failed my exam and I feel like such a disappointment,0.3603,ended my life,False
negative,I'm exhausted and just want this week to be over,0.3494,can't go on anymore,False
negative,I feel really lonely since I moved to a new city,0.4142,tired of living,False
negative,I'm anxious about my job interview tomorrow,0.1625,harming myself,False
negative,I've been feeling low ever since my breakup,0.3458,giving up on life,False
negative,I'm frustrated with myself for not getting anything done today,0.3837,cutting myself,False
negative,I feel like I'm failing at everything I try,0.3641,giving up on life,False
negative,"I'm worried about my health, I haven't been sleeping well",0.2158,harming myself,False
negative,I had a panic attack earlier and I'm still shaky,0.2161,overdose,False
negative,I miss my old life and I feel really homesick,0.3975,tired of living,False
