threshold,cosine_precision,cosine_recall,cosine_f1,cosine_direct_recall,cosine_paraphrased_recall,hybrid_precision,hybrid_recall,hybrid_f1,hybrid_direct_recall,hybrid_paraphrased_recall
0.3,0.7353,0.8929,0.8065,1.0000,0.7857,0.7353,0.8929,0.8065,1.0000,0.7857
0.35,0.7778,0.7500,0.7636,1.0000,0.5000,0.7778,0.7500,0.7636,1.0000,0.5000
0.4,0.9091,0.7143,0.8000,1.0000,0.4286,0.9091,0.7143,0.8000,1.0000,0.4286
0.45,1.0000,0.5714,0.7273,1.0000,0.1429,1.0000,0.5714,0.7273,1.0000,0.1429
0.5,1.0000,0.5000,0.6667,1.0000,0.0000,1.0000,0.5000,0.6667,1.0000,0.0000
0.55,1.0000,0.5000,0.6667,1.0000,0.0000,1.0000,0.5000,0.6667,1.0000,0.0000
0.6,1.0000,0.5000,0.6667,1.0000,0.0000,1.0000,0.5000,0.6667,1.0000,0.0000
0.65,1.0000,0.5000,0.6667,1.0000,0.0000,1.0000,0.5000,0.6667,1.0000,0.0000
0.7,1.0000,0.4286,0.6000,0.8571,0.0000,1.0000,0.5000,0.6667,1.0000,0.0000
0.75,1.0000,0.3929,0.5641,0.7857,0.0000,1.0000,0.5000,0.6667,1.0000,0.0000
0.8,1.0000,0.1786,0.3030,0.3571,0.0000,1.0000,0.5000,0.6667,1.0000,0.0000
